product,price,customer,date
prod_27_407,847,WBXNOTLQ3499433499,12/3/2021 4:25
prod_16_11667,932,OAKBAYPA3124249130,12/11/2021 5:52
prod_17_16579,600,nezvkvub3956967968,10/31/2021 7:45
prod_90_33398,121,Hfgosnrl885853293,11/4/2021 3:09
prod_16_11667,838.8,Qhdubmpj3778411239,11/19/2021 23:32
prod_79_34297,19.8,dghaoeec1846434059,10/4/2021 16:54
prod_15_41448,381,WKPMTKPW4037283104,12/8/2021 3:10
prod_79_34297,22,crbsyilv1485483712,10/29/2021 20:16
prod_72_7398,157.5,AMZROMOV231044057,11/28/2021 0:02
prod_31_31200,794,tbzsoune627185804,12/3/2021 14:38
prod_10_11397,548,tbzsoune627185804,12/24/2021 13:00
prod_91_39898,666,frtyzckh3004541385,12/17/2021 23:47
prod_95_23572,781,nomzjsdl2884391596,11/1/2021 21:14
prod_10_11397,548,UYABCHIH2147909808,12/25/2021 11:37
prod_52_8939,730,Ccebjhrz289666593,12/25/2021 8:40
prod_70_52165,290,Onarnatj4279006920,11/2/2021 8:17
prod_37_41572,886.5,RJEZCVYH117794743,12/7/2021 18:16
prod_67_33621,999,PBORLHON3972238029,10/1/2021 21:59
prod_13_59066,986,PCVTBCNW2447445164,12/6/2021 5:44
prod_7_10386,882,UJVFCQDS2894319360,12/14/2021 10:17
prod_57_31611,739,uluewaut255581740,11/5/2021 3:54
prod_41_45645,497,VRNCJQGD1018594068,12/8/2021 13:09
prod_51_48835,900,nbreolqf3413946571,11/10/2021 12:23
prod_79_34297,22,XXQSKESP3049655751,12/18/2021 16:13
prod_54_46375,119,FLVGOGCR1636066458,10/21/2021 23:53
prod_23_11675,949,Bcgpepyx4147884913,10/18/2021 14:06
prod_66_49521,222.3,serrwauu296525175,12/28/2021 0:55
prod_31_31200,794,ncewciny2725508024,11/1/2021 13:01
prod_12_46839,532.8,iikbserf2051368261,10/11/2021 22:01
prod_65_38327,564.3,TJOWJHOP2923842510,10/17/2021 19:06
prod_79_34297,22,qylbtzfj629608714,12/18/2021 20:59
prod_24_36520,320.4,ZKACWKSI4148732652,11/9/2021 2:04
prod_83_35734,816,HHXTKUNK532086377,10/15/2021 20:09
prod_15_41448,381,NHKPDMIC3246117317,10/2/2021 8:29
prod_36_41136,49,Rusxvlmn2570398130,12/6/2021 0:55
prod_96_8204,711,FVGUNXJK2076276710,11/8/2021 2:50
prod_13_59066,887.4,LCQMFWON3794203789,11/10/2021 5:10
prod_88_35492,126,oripgafk1434089563,12/25/2021 18:36
prod_83_35734,816,Kqssntjp2520686820,10/29/2021 11:55
prod_12_46839,592,Jqxjwvmm3949403932,12/14/2021 5:02
prod_56_23126,554,JJFXAWCQ2018303911,11/6/2021 10:19
prod_32_53584,164,Wqieqmmz1037288987,11/3/2021 1:53
prod_44_29979,693,QJNGLNBO2867082163,12/9/2021 5:06
prod_73_55136,856.8,vgqyfmwd685092655,12/22/2021 10:07
prod_46_63367,331,bnhjdabc3938207428,11/1/2021 11:11
prod_45_49428,799,Dblllsjt4186097206,11/10/2021 2:41
prod_73_55136,856.8,UVZQJRRG2118870777,11/7/2021 21:55
prod_88_35492,126,qylbtzfj629608714,11/20/2021 16:46
prod_40_42608,675,GCGDIHYK3438890936,11/20/2021 5:31
prod_18_47747,730,llixjdfc34458787,10/28/2021 14:14
prod_53_20228,794,Yqxshxya3541359977,12/18/2021 3:17
prod_89_41895,339.3,tckjgjlu2498512672,11/18/2021 0:36
prod_93_8330,395,ZAAWAHKW792039866,10/21/2021 19:33
prod_13_59066,986,FSDFICOW3464700558,11/10/2021 11:23
prod_17_16579,540,Eiqggtto1120618367,12/8/2021 18:02
prod_90_33398,121,ZRIDIQXN3674149375,11/16/2021 16:36
prod_68_51093,900,FADLVURK3779724743,11/13/2021 18:46
prod_94_4935,551,RMKVRHME1942290727,12/22/2021 16:38
prod_14_25023,587.7,Mklinwzj733638017,11/9/2021 9:43
prod_52_8939,730,QUQDGSJS2210181476,10/21/2021 20:02
prod_94_4935,495.9,rglihelc4041514420,10/24/2021 18:08
prod_19_48699,826,pfqzmrpa3918239580,11/2/2021 8:28
prod_61_30290,858,AKTOMPRL2676406673,11/18/2021 12:43
prod_95_23572,781,BCLRVUOY2079700776,11/16/2021 6:08
prod_70_52165,290,Gisoamvj1997757661,11/27/2021 13:46
prod_93_8330,395,ACDIUQKC1722300902,10/28/2021 21:32
prod_91_39898,666,wzagyoey1868734142,10/18/2021 7:09
prod_72_7398,175,Bbwrebxx3654076884,12/29/2021 6:04
prod_35_48767,397.8,YHCOWXKJ1068432257,10/2/2021 22:29
prod_92_16857,755,dlfsalll2494829002,10/17/2021 23:58
prod_97_58742,442.8,Nrzixrej2562427790,11/2/2021 22:32
prod_66_49521,222.3,xehekeol2112372343,12/17/2021 1:12
prod_45_49428,799,Ebcviqmd4054077421,11/13/2021 15:22
prod_8_13701,152,cmhlpnsn2023792158,11/11/2021 5:24
prod_83_35734,816,Fkywyxyh840866125,10/6/2021 17:49
prod_48_45608,685.8,CNWOUAVD1732740604,12/4/2021 9:14
prod_78_35167,511,Uhdavyup1706208905,12/13/2021 13:01
prod_59_43738,998,vyoxskue1856305247,10/17/2021 2:46
prod_3_54932,898,WBDDZDMJ3848435558,11/18/2021 20:09
prod_32_53584,164,Ffdpseuc4158884193,10/10/2021 1:25
prod_98_47920,288,eqrrrgim1647897848,12/27/2021 14:08
prod_99_26910,167.4,RJEZCVYH117794743,10/14/2021 2:13
prod_46_63367,331,Uiuipfvx2909657722,11/16/2021 11:43
prod_43_49233,969,GLMIKOVU3448312843,11/22/2021 21:57
prod_79_34297,22,nomzjsdl2884391596,11/27/2021 17:39
prod_96_8204,790,qddryqgc738592731,12/14/2021 1:21
prod_45_49428,719.1,zfyfovhn1912147023,10/11/2021 22:57
prod_50_27592,324,Dlfsalll2494829002,10/17/2021 5:22
prod_61_30290,858,IZFEFXGF1931041425,12/14/2021 22:11
prod_5_57392,500,uxatqddu280957009,12/29/2021 16:49
prod_37_41572,886.5,mxxxdjvz2528835603,11/25/2021 12:23
prod_99_26910,186,DUZUWGNM721161800,10/5/2021 15:45
prod_13_59066,986,YSZIQHBI912105170,12/10/2021 8:49
prod_63_47776,487,hkwdskch3083055599,11/24/2021 20:12
prod_84_64018,145.8,VVGPWEHS1655252033,11/26/2021 1:24
prod_37_41572,985,Qmwytfxy3146198917,10/1/2021 3:47
prod_14_25023,653,Enziuadb3317703583,10/9/2021 7:22
prod_95_23572,702.9,Ryaecytc2688130284,10/2/2021 8:13
prod_77_56230,79,Kcajrjhj3542778637,10/8/2021 7:36
prod_7_10386,980,wvfkoxwl490710803,10/17/2021 3:20
prod_71_12599,372.6,ijjnobnn1686425393,11/17/2021 8:14
prod_40_42608,750,mndcojny803916889,10/11/2021 14:34
prod_6_30449,571.5,IYYNIOQF752781764,11/3/2021 23:42
prod_67_33621,999,mzbgzvfn1190669940,10/7/2021 15:54
prod_15_41448,381,Hlmnyrqu2559620382,11/24/2021 7:44
prod_52_8939,730,dlfsalll2494829002,10/3/2021 20:32
prod_79_34297,22,VMJDJRCH3318887604,11/29/2021 11:36
prod_83_35734,816,vdgnrvxo2922001734,11/14/2021 8:39
prod_32_53584,164,idmsshwv1985157104,11/30/2021 22:54
prod_53_20228,714.6,uxuwkvuy376512026,12/21/2021 13:08
prod_72_7398,157.5,ehtydvcx2143805436,12/3/2021 22:32
prod_85_61350,662,nuzadskj2594462699,10/10/2021 5:26
prod_29_17163,238.5,fnqadgoo4121635278,10/11/2021 13:03
prod_38_19499,6,plbxyhbo3927454372,12/6/2021 16:16
prod_93_8330,395,Shtxikpg3691132594,10/5/2021 2:20
prod_30_26729,163,wthuussh1004639052,10/11/2021 1:21
prod_4_23879,467,luljprvy3233112424,11/28/2021 21:37
prod_90_33398,108.9,AAEFEATJ3206449158,10/2/2021 12:42
prod_51_48835,900,LGVTIEMM152590501,12/7/2021 12:26
prod_37_41572,886.5,jfyhhivr536467266,12/15/2021 12:01
prod_79_34297,19.8,ptdugavo2908104144,11/4/2021 14:14
prod_23_11675,949,Ydbfrcsb2371119576,12/4/2021 1:10
prod_36_41136,44.1,iszkuveh3564177177,11/14/2021 9:59
prod_16_11667,838.8,bmotxmfj4277765853,10/3/2021 7:20
prod_57_31611,739,RAFMKGPS494656630,10/8/2021 11:44
prod_83_35734,816,JYTNSZBB2783235904,11/25/2021 23:04
prod_55_62200,702,Oripgafk1434089563,11/17/2021 3:31
prod_60_60974,461,UJFXAAXD1835889437,12/9/2021 21:29
prod_57_31611,665.1,eqrrrgim1647897848,11/9/2021 17:16
prod_43_49233,872.1,xrdmmdup3033662268,12/28/2021 14:29
prod_89_41895,339.3,Fqmphkns969160529,11/5/2021 10:53
prod_97_58742,442.8,xswjovhk1968002421,10/6/2021 3:54
prod_3_54932,898,LWGNURXZ3106773361,12/22/2021 13:03
prod_94_4935,551,cevsvgze1754778563,10/1/2021 13:30
prod_27_407,847,bjvqyvcy2164598853,12/1/2021 8:01
prod_74_3805,899.1,wqgvtytg4032526895,11/7/2021 11:08
prod_79_34297,22,szlepqhz2251985848,11/21/2021 8:47
prod_39_38431,241.2,Nnohkrwo3080121036,12/20/2021 17:16
prod_30_26729,146.7,TLUNOSLM1474635345,11/10/2021 5:18
prod_22_40693,893,Mmjhqfnx2362928639,12/4/2021 22:13
prod_76_36249,118,nuzadskj2594462699,10/6/2021 20:38
prod_18_47747,657,ZXTSTNVR2330984499,11/4/2021 11:16
prod_32_53584,147.6,IIKBSERF2051368261,11/28/2021 18:32
prod_35_48767,397.8,Ywmtxuam2939561674,12/26/2021 12:48
prod_52_8939,730,XTLHKEYZ284481040,10/22/2021 1:44
prod_23_11675,949,KLBZQFES221434315,11/18/2021 18:05
prod_70_52165,290,uhdavyup1706208905,12/15/2021 17:30
prod_55_62200,702,FSTJXCJS145685266,11/8/2021 22:08
prod_83_35734,816,dsfzzpws3527343106,11/3/2021 16:19
prod_72_7398,175,UQWTJSFW25526576,11/7/2021 18:36
prod_98_47920,320,RAVMMLUH2166358541,12/16/2021 1:48
prod_53_20228,794,Wmpstyzi2784107647,10/4/2021 8:43
prod_13_59066,986,Xasvmxfv565383293,12/3/2021 13:35
prod_42_28811,386.1,idpzpiae1116200846,11/30/2021 15:08
prod_29_17163,265,ADHESWTR1186783738,12/9/2021 21:29
prod_56_23126,498.6,vxtdybmm201531241,12/11/2021 13:50
prod_3_54932,898,zbtdgvnj86814955,11/10/2021 0:39
prod_98_47920,288,XEHEKEOL2112372343,12/10/2021 6:56
prod_28_46543,951,IANWQWLP4131507608,12/1/2021 3:32
prod_74_3805,999,dipukgir3215172424,10/3/2021 15:31
prod_18_47747,730,gmgjanoq2430062315,12/15/2021 10:13
prod_86_15149,514,Malujbgr1517712032,10/17/2021 12:07
prod_31_31200,714.6,pzldkhds3783286020,11/8/2021 10:24
prod_26_31806,659.7,aqngtcfo2009384654,10/9/2021 16:39
prod_76_36249,118,cenvyfqs1962628446,10/6/2021 16:46
prod_63_47776,487,Qtagiiyb3370375708,12/19/2021 11:27
prod_8_13701,136.8,excoesbv1277010813,12/23/2021 18:20
prod_4_23879,467,qvxhcepe1141107199,12/13/2021 13:59
prod_95_23572,781,Tjkgmsfh3674830649,11/23/2021 8:30
prod_41_45645,497,OXAGCXMP1933075208,11/17/2021 9:39
prod_22_40693,893,xdgwbeij787400893,11/1/2021 19:53
prod_89_41895,377,Idwbsdlo2821637548,12/17/2021 21:23
prod_26_31806,733,Ouhxrvgf2201871170,10/31/2021 22:41
prod_56_23126,554,DURMCSVN1780841135,11/6/2021 14:06
prod_55_62200,702,Kqssntjp2520686820,10/2/2021 20:09
prod_99_26910,186,qxngegft746578565,11/9/2021 8:48
prod_56_23126,554,Zjxtutmi3683072364,11/24/2021 18:40
prod_63_47776,438.3,Weesyiff984718056,12/7/2021 10:12
prod_95_23572,702.9,Djsxcgsb3777783932,12/11/2021 15:26
prod_8_13701,152,Nqoqjpih1112912784,12/20/2021 21:31
prod_3_54932,898,ENZIUADB3317703583,12/26/2021 13:32
prod_32_53584,164,Stewlvfi4112851620,10/17/2021 11:08
prod_54_46375,119,DRTAAOUN2325713568,12/25/2021 8:01
prod_37_41572,886.5,Azudkpuf967018458,11/12/2021 20:20
prod_50_27592,291.6,vomgetje468268849,11/24/2021 0:43
prod_34_33126,924,osbdtwty4077179424,12/17/2021 21:30
prod_53_20228,714.6,AMZROMOV231044057,11/27/2021 4:44
prod_39_38431,268,UTNIREJX4059163939,10/6/2021 11:10
prod_18_47747,657,KIXJHWBA3674992704,11/20/2021 5:49
prod_16_11667,932,sxmcmiuh3560268524,11/17/2021 1:04
prod_41_45645,497,rzregzaa3352541639,11/23/2021 18:40
prod_46_63367,331,Eiqokiap4033682946,10/20/2021 5:21
prod_0_40386,571,paretgfp1454657352,12/19/2021 10:00
prod_47_11852,41.4,Zkacwksi4148732652,10/25/2021 10:11
prod_85_61350,595.8,TZPFIAKU611674045,11/17/2021 21:46
prod_84_64018,162,crbsyilv1485483712,10/8/2021 10:54
prod_59_43738,998,Xxfdytrq1444263260,11/18/2021 22:23
prod_81_32865,590.4,Dtgsrofm139720728,10/22/2021 23:24
prod_19_48699,743.4,JFYHHIVR536467266,11/27/2021 6:32
prod_40_42608,750,jomoagpy205929929,11/23/2021 0:19
prod_49_45071,992,okhlrayv2498143294,12/12/2021 6:10
prod_62_27090,936,UQPMUTBE636189837,12/8/2021 4:51
prod_17_16579,600,Gehuwggs3438207566,11/22/2021 21:33
prod_27_407,762.3,kdvpvzwl2137664409,11/3/2021 3:05
prod_29_17163,265,SPREENJG2137021609,11/23/2021 15:41
prod_19_48699,743.4,hcbvjetd3966381786,11/23/2021 20:45
prod_14_25023,653,LBRNKWVK628932648,11/9/2021 16:25
prod_35_48767,442,Olawbixi978727512,11/13/2021 0:13
prod_16_11667,932,FHVYGGQT1199514713,11/18/2021 4:36
prod_4_23879,467,Mndcojny803916889,11/16/2021 7:35
prod_48_45608,762,pfqzmrpa3918239580,11/14/2021 20:25
prod_50_27592,324,wmpstyzi2784107647,12/3/2021 21:07
prod_31_31200,794,ELVKURAJ940701330,11/14/2021 9:40
prod_5_57392,450,TZZWUDCA2160669547,10/4/2021 15:43
prod_60_60974,461,Pluuyhkm672619153,10/6/2021 1:33
prod_62_27090,936,HVJTKMZV1547522183,11/30/2021 1:05
prod_64_24023,622,TDFIGBQU4044307603,11/27/2021 1:59
prod_37_41572,985,NMYVNIKJ3423140497,12/25/2021 23:11
prod_39_38431,241.2,TQGJOYFW2717756128,12/15/2021 14:49
prod_38_19499,6,Zidjblaz1965612036,12/24/2021 6:57
prod_54_46375,119,ASBYNOAF923955217,12/3/2021 4:39
prod_22_40693,893,Yhrljdke1672732656,11/29/2021 7:57
prod_82_50164,437.4,QUEIEHAJ3451704538,12/5/2021 21:42
prod_5_57392,450,shaauhyp2669798255,12/3/2021 11:49
prod_99_26910,186,Crbsyilv1485483712,12/24/2021 7:26
prod_31_31200,794,RSUGORWI2102063392,11/16/2021 6:48
prod_83_35734,816,WKTDCGLK1174611274,10/2/2021 11:03
prod_58_20298,708,FDYZGCPU1238239587,11/30/2021 4:13
prod_89_41895,377,AZHPFZGG929140562,12/14/2021 7:32
prod_47_11852,41.4,xpqgvreg2812130400,12/20/2021 5:21
prod_5_57392,450,hvlvzkhf2208954995,12/19/2021 2:39
prod_43_49233,872.1,djhfjxya340223670,10/1/2021 11:57
prod_55_62200,631.8,ltuxotmz2637843221,10/25/2021 14:24
prod_16_11667,932,BNRODFAC4087601182,12/5/2021 18:27
prod_73_55136,952,qwnqricp2755365274,11/17/2021 20:45
prod_91_39898,740,asbynoaf923955217,11/3/2021 23:44
prod_70_52165,290,Gbepumvo38238716,11/12/2021 23:06
prod_36_41136,49,UFHJYUBC3045279573,10/4/2021 8:16
prod_52_8939,730,uwudzpnn2472240884,10/17/2021 23:43
prod_64_24023,622,qpbwaqbg1760147292,11/2/2021 21:09
prod_6_30449,571.5,qwywvmfd2189054349,11/18/2021 16:56
prod_78_35167,511,Lksdrhuv3373470949,10/2/2021 16:19
prod_34_33126,831.6,Qzwrdpeb2807198168,12/28/2021 11:07
prod_11_11715,537,RFHFRVPU773766810,12/27/2021 23:44
prod_3_54932,898,Tfgxmpfj283775594,10/19/2021 20:59
prod_83_35734,734.4,Uuvdqmlv3089604945,10/26/2021 1:45
prod_10_11397,493.2,Zbevpraw3543560334,11/22/2021 13:19
prod_83_35734,816,Ddmlffxo1615568978,12/28/2021 18:53
prod_71_12599,414,fgxtlknf975321173,10/29/2021 3:01
prod_26_31806,659.7,Pzldkhds3783286020,11/13/2021 7:21
prod_63_47776,487,MVYFENXB940005086,10/20/2021 0:25
prod_78_35167,511,Skmsemfz3792831182,11/21/2021 17:32
prod_29_17163,238.5,Gcgdihyk3438890936,12/2/2021 0:16
prod_86_15149,462.6,pbyxdatp1832140346,11/26/2021 19:01
prod_18_47747,730,JETUBIBG3532030261,10/31/2021 13:40
prod_89_41895,339.3,Uxuwkvuy376512026,11/16/2021 13:55
prod_73_55136,952,Qpbwaqbg1760147292,11/13/2021 21:32
prod_2_51462,570.6,qgrusxyf2356290776,12/17/2021 23:37
prod_5_57392,500,QMWYTFXY3146198917,11/10/2021 19:49
prod_75_31613,522,Qddryqgc738592731,11/5/2021 11:51
prod_42_28811,429,NHKPDMIC3246117317,10/13/2021 22:20
prod_55_62200,702,Qlteyyus1936461398,11/17/2021 7:14
prod_29_17163,265,OEJTIJGF277828895,12/21/2021 13:54
prod_60_60974,461,Uqpmutbe636189837,10/6/2021 17:00
prod_94_4935,551,Uqwtjsfw25526576,10/22/2021 22:09
prod_89_41895,377,Wrvhmvgq3429567595,10/18/2021 3:56
prod_67_33621,999,dmxbusgo666130720,12/22/2021 2:49
prod_90_33398,121,CBWEEVUL1455707870,10/26/2021 21:29
prod_92_16857,755,Pmhwrcpn974957978,10/12/2021 7:17
prod_74_3805,999,Qddryqgc738592731,12/11/2021 17:41
prod_22_40693,893,yhrljdke1672732656,11/30/2021 9:05
prod_33_25785,124,Ackiekbt510115602,11/28/2021 21:04
prod_49_45071,992,Btlkzybj3719654462,10/14/2021 23:58
prod_61_30290,858,Jjhbqjns1710141079,10/23/2021 14:25
